"Date","Price","Open","High","Low","Vol.","Change %"
"08/01/2022","839.44","842.58","844.84","835.58","","0.44%"
"07/29/2022","835.74","833.01","836.81","830.13","","0.33%"
"07/28/2022","833.01","833.82","835.70","832.70","","-0.26%"
"07/27/2022","835.20","838.12","838.12","831.84","","-0.10%"
"07/26/2022","836.01","828.95","836.36","828.95","","0.32%"
"07/25/2022","833.31","841.39","843.11","832.68","","-0.96%"
"07/22/2022","841.39","832.54","841.39","829.81","","1.12%"
"07/21/2022","832.03","837.09","837.65","831.78","","-0.58%"
"07/20/2022","836.92","839.43","839.71","835.16","","-0.30%"
"07/19/2022","839.43","839.92","853.10","832.90","","-0.72%"
"07/18/2022","845.48","850.26","851.00","839.29","","-1.08%"
"07/15/2022","854.71","856.14","856.14","853.85","","-0.41%"
"07/14/2022","858.19","862.49","864.33","856.74","","-0.67%"
"07/13/2022","863.94","868.47","868.47","858.46","","0.37%"
"07/12/2022","860.74","845.38","863.59","845.38","","0.99%"
"07/11/2022","852.32","836.16","854.61","834.03","","1.16%"
"07/08/2022","842.55","830.69","842.55","828.29","","0.09%"
"07/07/2022","841.77","837.32","842.05","825.26","","-0.27%"
"07/06/2022","844.08","838.65","844.08","838.65","","0.03%"
"07/05/2022","843.81","844.98","844.98","834.62","","0.64%"
"07/04/2022","838.45","842.15","842.15","837.76","","0.11%"
"07/01/2022","837.51","843.77","843.77","836.07","","-0.25%"
"06/30/2022","839.62","834.97","839.69","834.33","","0.04%"
"06/29/2022","839.27","834.98","839.60","817.32","","0.44%"
"06/28/2022","835.58","832.32","836.26","830.12","","-0.10%"
"06/27/2022","836.43","829.99","836.43","829.40","","0.24%"
"06/24/2022","834.46","831.88","836.50","828.70","","0.44%"
"06/23/2022","830.78","830.42","831.49","830.21","","-0.11%"
"06/22/2022","831.67","827.41","833.08","826.33","","-0.16%"
"06/21/2022","832.97","832.55","838.39","829.86","","-0.36%"
"06/20/2022","836.00","819.20","836.93","813.01","","2.01%"
"06/17/2022","819.51","817.77","821.66","817.25","","-0.11%"
"06/16/2022","820.39","824.20","825.51","820.30","","-0.70%"
"06/15/2022","826.17","826.03","828.13","824.53","","-0.19%"
"06/14/2022","827.78","826.57","829.13","802.40","","0.14%"
"06/13/2022","826.64","826.40","827.73","824.03","","-0.08%"
"06/10/2022","827.32","829.54","830.02","827.27","","-0.38%"
"06/09/2022","830.51","830.54","831.18","829.66","","-0.03%"
"06/08/2022","830.79","834.90","834.90","830.47","","-0.60%"
"06/07/2022","835.82","843.01","843.01","833.76","","-0.84%"
"06/06/2022","842.89","837.32","844.88","823.63","","0.58%"
"06/03/2022","838.03","834.98","840.41","834.98","","0.28%"
"06/02/2022","835.67","835.81","838.28","834.57","","0.35%"
"06/01/2022","832.79","831.21","835.89","830.76","","0.23%"
"05/31/2022","830.92","826.86","831.78","826.86","","0.92%"
"05/30/2022","823.34","821.44","825.57","820.39","","0.52%"
"05/27/2022","819.05","817.57","819.40","816.98","","0.30%"
"05/26/2022","816.56","816.99","817.37","815.90","","-0.35%"
"05/25/2022","819.40","816.58","821.49","816.22","","0.28%"
"05/24/2022","817.12","815.90","819.79","815.19","","0.15%"
"05/23/2022","815.90","805.80","816.20","803.09","","-0.72%"
"05/20/2022","821.79","817.99","825.19","817.99","","0.45%"
"05/19/2022","818.11","808.80","818.13","804.56","","-0.23%"
"05/18/2022","820.02","817.92","820.02","817.92","","0.21%"
"05/17/2022","818.28","817.04","820.61","816.84","","0.12%"
"05/16/2022","817.26","818.23","819.63","811.53","","-0.11%"
"05/13/2022","818.16","818.44","824.96","815.61","","-0.37%"
"05/12/2022","821.23","818.87","823.92","818.04","","0.16%"
"05/11/2022","819.91","828.05","829.00","800.22","","-0.62%"
"05/10/2022","825.02","825.95","827.04","821.86","","-0.29%"
"05/09/2022","827.42","821.85","830.70","816.09","","0.89%"
"05/06/2022","820.11","819.78","821.28","819.78","","0.09%"
"05/05/2022","819.36","820.36","821.79","818.46","","-0.12%"
"05/04/2022","820.36","827.01","837.35","805.67","","-0.82%"
"04/29/2022","827.16","833.26","833.26","826.70","","-0.68%"
"04/28/2022","832.79","844.15","844.17","831.97","","1.14%"
"04/27/2022","823.43","820.40","827.71","817.14","","0.25%"
"04/26/2022","821.37","823.12","826.30","821.37","","-0.21%"
"04/21/2022","823.12","821.98","829.66","817.82","","-0.81%"
"04/20/2022","829.85","830.97","830.97","819.09","","-1.20%"
"04/19/2022","839.94","856.58","856.58","839.08","","-2.15%"
"04/18/2022","858.42","855.73","862.17","855.73","","0.31%"
"04/15/2022","855.73","853.27","856.03","853.27","","0.29%"
"04/14/2022","853.27","852.69","854.53","852.69","","-0.11%"
"04/13/2022","854.22","854.47","858.46","854.22","","-0.35%"
"04/12/2022","857.23","850.79","859.38","850.79","","0.71%"
"04/11/2022","851.15","838.44","855.14","821.91","","0.38%"
"04/08/2022","847.95","838.52","852.11","838.52","","0.52%"
"04/07/2022","843.55","835.72","844.78","835.72","","0.68%"
"04/06/2022","837.87","834.80","843.09","834.80","","0.37%"
"04/05/2022","834.80","838.23","838.23","833.88","","-0.12%"
"04/04/2022","835.78","841.83","841.83","833.24","","-0.03%"
"04/01/2022","836.00","838.38","839.07","836.00","","-0.54%"
"03/31/2022","840.53","834.45","843.44","834.45","","-0.27%"
"03/30/2022","842.84","834.45","843.10","834.45","","0.46%"
"03/29/2022","839.01","833.01","841.78","833.01","","0.67%"
"03/28/2022","833.39","833.63","836.83","833.12","","-0.30%"
"03/25/2022","835.86","825.86","837.11","825.86","","0.61%"
"03/24/2022","830.78","830.09","835.67","824.80","","0.08%"
"03/23/2022","830.09","829.67","830.38","809.33","","0.05%"
"03/22/2022","829.67","818.15","853.72","816.05","","1.67%"
"03/21/2022","816.03","805.18","816.44","805.18","","1.18%"
"03/18/2022","806.50","811.77","815.33","806.50","","-0.81%"
"03/17/2022","813.09","813.24","814.03","810.37","","0.01%"
"03/16/2022","812.97","814.83","814.83","811.39","","-0.36%"
